none, 0, 0.17029792262109913
the, 1, 0.048247368144399394
and, 2, 0.023236826726256425
for, 3, 0.01380999026943242
pro, 4, 0.009938101133025222
you, 5, 0.00910376361527433
con, 6, 0.008985244063439113
ing, 7, 0.008829602967803067
com, 8, 0.008341425506060868
ion, 9, 0.00815060861883198
ati, 10, 0.007838917298005722
tha, 11, 0.007133936212771435
thi, 12, 0.007019862303387686
ent, 13, 0.006617257003567329
res, 14, 0.006574236622614552
tio, 15, 0.006432704553124992
wit, 16, 0.006390631703290424
not, 17, 0.005658200189310205
sta, 18, 0.00552898257270561
ter, 19, 0.005336750618775788
are, 20, 0.005210045622718482
men, 21, 0.005184867778494873
all, 22, 0.005135332088584437
tra, 23, 0.004974853295566883
new, 24, 0.00455423957909497
int, 25, 0.004528797499877007
per, 26, 0.004437477579430739
fro, 27, 0.004184589784820427
ate, 28, 0.004165642694023084
pri, 29, 0.004049297150596487
tin, 30, 0.003959392485586793
par, 31, 0.003900044861731237
wor, 32, 0.003882084705292447
ine, 33, 0.003874495305218801
lin, 34, 0.003696397144312087
man, 35, 0.0036497060745389895
cha, 36, 0.0035860634736814717
pre, 37, 0.0035414189715529056
ted, 38, 0.0035086678837064032
pla, 39, 0.0034892263735499867
ect, 40, 0.0034660043814414873
her, 41, 0.003435404026308557
sho, 42, 0.003415115467207546
ver, 43, 0.0033806531337339206
car, 44, 0.003375178356655405
use, 45, 0.0033540745548156273
ser, 46, 0.0033460709684329693
pos, 47, 0.0032841363383842048
dis, 48, 0.0032812969178286815
ers, 49, 0.0032760040666024387
can, 50, 0.0032632221529488746
sit, 51, 0.0032542752267394302
mor, 52, 0.0032412691937663825
rea, 53, 0.0032339388019001383
cou, 54, 0.0032049009074999217
ple, 55, 0.00304789232184664
lis, 56, 0.002946058790860691
mar, 57, 0.002934400100800588
was, 58, 0.0029144084262590062
hav, 59, 0.002897341798741424
inf, 60, 0.002857769879746828
wil, 61, 0.002855924502592228
rec, 62, 0.0027693767695575037
our, 63, 0.0027368927630428163
gra, 64, 0.002735548688146957
ons, 65, 0.0026671304516267783
hom, 66, 0.0026358127854471
str, 67, 0.0026000788413607337
ins, 68, 0.0025970611064348777
sea, 69, 0.0025880119994310755
ica, 70, 0.0025878415116386017
end, 71, 0.0025685109729364462
che, 72, 0.0025657887232057837
fre, 73, 0.002545102574629669
sto, 74, 0.0025349759061545868
era, 75, 0.0025275682482985393
est, 76, 0.0025136091615644653
ber, 77, 0.0025053257210381577
rat, 78, 0.002465559984145765
des, 79, 0.002450116544327707
abo, 80, 0.002437565595486231
acc, 81, 0.002429824996062265
por, 82, 0.0024261848059008747
tim, 83, 0.00240998502586636
but, 84, 0.002404755344968297
ind, 85, 0.0024004133455873024
tur, 86, 0.002391664176919561
app, 87, 0.0023907106640718473
son, 88, 0.002390093726378166
eve, 89, 0.0023692011129161786
rep, 90, 0.0023656753424601672
ist, 91, 0.0023549691263516077
tor, 92, 0.002347515729858931
pag, 93, 0.002334839227609747
fin, 94, 0.0023300399370804396
mon, 95, 0.002310543220899708
one, 96, 0.0023089687337961066
whi, 97, 0.0023037570814022886
cal, 98, 0.002263766980344179
uni, 99, 0.0022527262498707166
inc, 100, 0.0022347307658611734
spe, 101, 0.0022342945484921314
ort, 102, 0.002231517942897686
ies, 103, 0.0022119307679360134
hea, 104, 0.0022065402434665537
sio, 105, 0.0022013355623890993
off, 106, 0.0021987145514749252
vic, 107, 0.002189535179473746
ern, 108, 0.002172775294977124
onl, 109, 0.0021685165416151157
ces, 110, 0.0021626783481142457
whe, 111, 0.00215995919296792
col, 112, 0.0021550631456684496
out, 113, 0.0021419622500829043
rch, 114, 0.002140311081899946
age, 115, 0.0021377464978406114
oth, 116, 0.0021244182387229926
kin, 117, 0.002116399922458955
art, 118, 0.002104840577057675
min, 119, 0.002101932660768398
ble, 120, 0.0020970555992539308
dat, 121, 0.002094610260411156
tem, 122, 0.0020273446681398134
duc, 123, 0.002017862338032363
exp, 124, 0.0020124151707672884
lic, 125, 0.0019703978636206065
day, 126, 0.0019565876365950684
tic, 127, 0.001953962556812588
sec, 128, 0.0019515293157541854
cat, 129, 0.001950841129506948
add, 130, 0.0019427946372225539
orm, 131, 0.0019407795969311962
sen, 132, 0.0019228875604552045
rel, 133, 0.001918075823575706
web, 134, 0.0019044839109735381
has, 135, 0.001900525135054975
lea, 136, 0.0018959006902410287
ure, 137, 0.0018904017328966573
log, 138, 0.0018897072197547394
nce, 139, 0.0018824462298933761
vid, 140, 0.0018755444396581272
chi, 141, 0.001870156258231094
enc, 142, 0.0018671777854189337
sub, 143, 0.001858539885761639
ess, 144, 0.0018575235698550948
mat, 145, 0.0018510491655212803
hou, 146, 0.0018495594632272285
den, 147, 0.0018493318939563055
tes, 148, 0.0018376149934045667
see, 149, 0.0018326574607950904
ite, 150, 0.001827156281131088
fil, 151, 0.001825446938163236
eri, 152, 0.001819842800658149
sup, 153, 0.001813339099792397
ere, 154, 0.0018096416853255882
sin, 155, 0.0018083729941641142
ord, 156, 0.0017888799285727078
act, 157, 0.001785834553227631
sti, 158, 0.0017770706342746568
anc, 159, 0.0017677270316625202
ive, 160, 0.0017636080395910328
iti, 161, 0.0017622163999137215
thr, 162, 0.0017597927588680479
sel, 163, 0.0017544630854888367
hel, 164, 0.0017518526641742513
reg, 165, 0.0017442186119691367
tri, 166, 0.0017348994021629883
his, 167, 0.0017297229090081374
ass, 168, 0.0017249042093138809
als, 169, 0.0017138658065799553
und, 170, 0.0017081581008185217
der, 171, 0.0017053693838371355
